|Script||Supported|Supported|Supported|
|DeltaTableOperations|ProphecySparkBasicsPython|Supported|Supported|Supported|
|FileOperation (DBFS Copy)|ProphecySparkBasicsPython|Supported|Supported|Supported|
|FileOperation|ProphecySparkBasicsPython|TBD|TBD|TBD|
|Directory|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|RestAPlEnrich|ProphecySparkBasicsPython|Not Supported|Not Supported|Supported|
|Email|ProphecyWebAppPython|Not Supported|Not Supported|Not Supported|
|EmailData|ProphecyWebAppPython|Not Supported|Not Supported|Not Supported|
|Tableau|ProphecyWebAppPython|Not Supported|Not Supported|Not Supported|
|ReadMultipleFiles|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|WriteMultipleFiles|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|Display|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|Trash|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|Todo|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|Assertions|ProphecySparkAbinitioPython|Not Supported|0.0.24|0.0.24|
|Log|ProphecySparkAbinitioPython|Not Supported|0.0.24|0.0.24|
