|Gem|Package|12.2 - Shared|14.3 - UC shared|15.4 - UC shared|
|Avro|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Csv (Only File Path)|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Csv (SFTP - Source)|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Csv (Sharepoint - Source)|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Delta|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Json|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|ORC|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Parque|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Text|ProphecySparkBasicsPython|0.2.39|Supported|0.2.39|
|Fixed Format|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Xlsx|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Xml|ProphecySparkBasicsPython|Not Supported|0.2.39|Supported|
|Seed|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Createdata|ProphecySparkAbinitioPython|Not Supported|Not Supported|Pending|
|Mtime|ProphecySparkAbinitioPython|Not Supported|Not Supported|Pending|
