|Aggregate|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|BulkColumnExpressions|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|SampleRows|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|Unpivot|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|ColumnParser|ProphecySparkBasicsPython|Not Supported|0.2.39|0.2.39|
|DynamicSelect|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Deduplicate|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|Filter|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|FlattenSchema|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|Limit|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|OrderBy|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|Reformat|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|DataCleansing|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|SchemaTransform|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|SetOperation|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|WindowFunction|ProphecySparkBasicsPython|0.2.39|0.2.39|0.2.39|
|BulkColumnRename|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Normalize|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|MetaPivot|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|ReadRaw|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|ReadSeparated Values|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|WriteSeparated Values|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|SyncDataFrameColumnsWithSchema|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|Sequence|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|AssignKeys|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|RoundRobinPartition|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|CompareRecords|ProphecySparkAbinitioPython|Not Supported|0.2.24|0.2.24|
|DynamicReplace|ProphecySparkAlteryxPython|Not Supported|Pending|Pending|
|FuzzyMatch|ProphecySparkAlteryxPython|Not Supported|Pending|Pending|
