|Gem|Package|12.2 - Shared|14.3 - UC shared|15.4 - UC shared|
|Avro|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Csv (Only File Path)|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Csv (SFTP - Source)|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Csv (Sharepoint - Source)|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Delta|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Json|ProphecySparkBasicsPython|Supported|Supported|Supported|
|ORC|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Parque|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Text|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Fixed Format|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Xlsx|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Xml|ProphecySparkBasicsPython|Not Supported|Supported|Supported|
|Seed|ProphecySparkBasicsPython|Not Supported|Not Supported|Not Supported|
|Createdata|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|Mtime|ProphecySparkAbinitioPython|Not Supported|Pending|Pending|
|JDBC|ProphecySparkBasicsPython|Not Supported|Supported|Supported|
|synapse|ProphecyWarehousePython |Supported|Not Supported|Not Supported|
|Data Generator|ProphecySparkBasicsPython|Not Supported|Not Supported|Supported|
|Kafka (Source)|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Kafka (Target)|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Bigquery (Source)|ProphecyWarehousePython |Not Supported|Not Supported|Not Supported|
|Bigquery (Target)|ProphecyWarehousePython |Not Supported|Not Supported|Not Supported|
|Cosmodb|ProphecyWarehousePython |TBD|TBD|TBD|
|mongodb (Driver mongodb+srv)|ProphecyWarehousePython |Not Supported|Not Supported|Not Supported|
|mongodb (Driver mongodb)|ProphecyWarehousePython |Not Supported|Not Supported|Not Supported|
|Redshift|ProphecyWarehousePython |Not Supported|Not Supported|Not Supported|
||ProphecyWarehousePython |Supported|Supported|Supported|
|Catalog Table|ProphecySparkBasicsPython|Supported|Supported|Supported|
|Iceberg|ProphecySparkBasicsPython|Pending|Pending|Pending|
|Salesforce|ProphecyWebAppPython|Pending|Pending|Pending|
|Lookup||Supported|Supported|Supported|
