Gem Type,Package,Gem,Coverage in ,12.2 - Shared,Issue,14.3 - UC shared,Issue,15.4 - UC shared,Issue,Minimum package version,Minimum Prophecy version with package,Min Scala libs version,Min Python libs version,Additional libs requirement (if Any)
Source/Target,ProphecySparkBasicPython,Avro,Python_Sanity_Generic_3,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,Csv (Only File Path),Python_Sanity_Generic_4,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,Csv (SFTP - Source),Python_Sanity_Generic_4,Fail,ModuleNotFoundError : No module named 'paramiko',Fail,"[JVM_ATTRIBUTE_NOT_SUPPORTED] Directly accessing the underlying Spark driver JVM using the attribute 'sparkContext' is not supported on shared clusters. If you require direct access to these fields, consider using a single-user cluster",Fail,"[JVM_ATTRIBUTE_NOT_SUPPORTED] Directly accessing the underlying Spark driver JVM using the attribute 'sparkContext' is not supported on shared clusters. If you require direct access to these fields, consider using a single-user cluster",0.2.35,3.4.1.x,,,PyPI -- paramiko
,ProphecySparkBasicPython,Csv (Sharepoint - Source),Python_Sanity_Generic_4,Fail,ModuleNotFoundError : No module named 'Office365',Fail,"[JVM_ATTRIBUTE_NOT_SUPPORTED] Directly accessing the underlying Spark driver JVM using the attribute 'sparkContext' is not supported on shared clusters. If you require direct access to these fields, consider using a single-user cluster",Fail,"[JVM_ATTRIBUTE_NOT_SUPPORTED] Directly accessing the underlying Spark driver JVM using the attribute 'sparkContext' is not supported on shared clusters. If you require direct access to these fields, consider using a single-user cluster",0.2.35,3.4.1.x,,,PyPI -- Office365-REST-Python-Client
,ProphecySparkBasicPython,Delta,Python_Sanity_Generic_5,Pass,,Pass,,Pass,,0.0.1,,,,"Needed only for non-databricks spark environments
PyPI -- delta-spark
Maven -- delta-core"
,ProphecySparkBasicPython,Json,Python_Sanity_NonGemBuilder_1,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,ORC,Python_Sanity_NonGemBuilder_1,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,Parque,Python_Sanity_GemBuilder_2,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,Text,Python_Sanity_GemBuilder_3,Pass,,Pass,,Pass,,0.0.1,,,,
,ProphecySparkBasicPython,Fixed Format,Python_Sanity_Generic_6,Fail,12.2 LTS - Incompatible Gem LIst ,Fail,Fixed format source type is failing with 14.3 LTS UC shared,Fail,Fixed format source type is failing with 15.4 LTS UC shared,0.0.1,,,,
