Package,Gem,12.2 - Shared,14.3 - UC shared,15.4 - UC shared,Minimum package version,Min Scala libs version,Min Python libs version,Gem Type,doc-file-prefix
ProphecySparkBasicPython,Avro,Pass,Pass,Pass,0.0.1,,,SourceTarget,avro
ProphecySparkBasicPython,Csv (Only File Path),Pass,Pass,Pass,0.0.1,,,SourceTarget,csv
ProphecySparkBasicPython,Csv (SFTP - Source),Not supported,Not supported,Not supported,0.2.35,,,SourceTarget,csv
ProphecySparkBasicPython,Csv (Sharepoint - Source),Not supported,Not supported,Not supported,0.2.35,,,SourceTarget,tbd
ProphecySparkBasicPython,Delta,Pass,Pass,Pass,0.0.1,,,SourceTarget,delta
ProphecySparkBasicPython,Json,Pass,Pass,Pass,0.0.1,,,SourceTarget,json
ProphecySparkBasicPython,ORC,Pass,Pass,Pass,0.0.1,,,SourceTarget,orc
ProphecySparkBasicPython,Parque,Pass,Pass,Pass,0.0.1,,,SourceTarget,parquet
ProphecySparkBasicPython,Text,Pass,Pass,Pass,0.0.1,,,SourceTarget,text
ProphecySparkBasicPython,Fixed Format,Not supported,Not supported,Not supported,0.0.1,,,SourceTarget,fixed-format
ProphecySparkBasicPython,Xlsx,Not supported,Not supported,Not supported,0.0.1,,,SourceTarget,xlsx
ProphecySparkBasicPython,Xml,Not supported,Pass,Pass,0.0.1,,,SourceTarget,?
ProphecySparkBasicPython,Seed,Not supported,Not supported,Not supported,0.2.31,,,SourceTarget,?
ProphecySparkAbinitioPython,Createdata,Not supported,TBD,TBD,,,,SourceTarget,
ProphecySparkAbinitioPython,Mtime,Not supported,TBD,TBD,,,,SourceTarget,
ProphecySparkBasicPython,JDBC,Not supported,Pass,Pass,0.0.1,,,Warehouse,jdbc
ProphecyWarehousePython ,synapse,Pass,Not supported,Not supported,0.0.7,,,Warehouse,
ProphecySparkBasicPython,Data Generator,Not supported,Not supported,Pass,0.2.32,,1.9.24,SourceTarget,synthetic-data-generator
ProphecySparkBasicPython,Kafka (Source),Pass,Pass,Pass,0.0.1,,,Warehouse,
ProphecySparkBasicPython,Kafka (Target),Pass,Pass,Pass,0.0.1,,,Warehouse,
ProphecyWarehousePython ,Bigquery (Source),Not supported,Not supported,Not supported,0.0.1,,,Warehouse,bigquery
ProphecyWarehousePython ,Bigquery (Target),Not supported,Not supported,Not supported,0.0.1,,,Warehouse,not-applicable-yet
ProphecyWarehousePython ,Cosmodb,TBD,TBD,TBD,0.0.1,,,Warehouse,cosmos
ProphecyWarehousePython ,mongodb (Driver mongodb+srv),Not supported,Not supported,Not supported,0.0.1,,,Warehouse,? mongodb ?
ProphecyWarehousePython ,mongodb (Driver mongodb),Not supported,Not supported,Not supported,0.0.1,,,Warehouse,? mongodb ?
ProphecyWarehousePython ,Redshift,Not supported,Not supported,Not supported,0.0.1,,,Warehouse,redshift
ProphecyWarehousePython ,Snowflake,Pass,Pass,Pass,0.0.1,,,Warehouse,
ProphecySparkBasicPython,Catalog Table,Pass,Pass,Pass,0.0.1,,,Catalog table,catalog-table
ProphecySparkBasicPython,Iceberg,TBD,TBD,TBD,0.2.15,,,Catalog table,iceberg
ProphecyWebAppPython,Salesforce,TBD,TBD,TBD,0.0.1,,,Application,salesforce
ProphecyWebAppPython,Smartsheet,TBD,TBD,TBD,0.1.0,,,Application,not-applicable-yet
,Lookup,Pass,Pass,Pass,,,,Lookup,lookup
ProphecySparkBasicPython,Aggregate,Pass,Pass,Pass,0.0.1,,,Transform,aggregate
ProphecySparkBasicPython,BulkColumnExpressions,Pass,Pass,Pass,,,,Transform,bulk-column-expressions
ProphecySparkBasicPython,SampleRows,Pass,Pass,Pass,0.2.25,,,Transform,not-applicable-yet
ProphecySparkBasicPython,Unpivot,Pass,Pass,Pass,0.2.36,,,Transform,unpivot
ProphecySparkBasicPython,ColumnParser,Not supported,Pass,Pass,0.2.27,8.2.1,1.9.16,Transform,?
ProphecySparkBasicPython,DynamicSelect,Not supported,Not supported,Not supported,0.2.27,8.2.1,1.9.16,Transform,dynamic-select
ProphecySparkBasicPython,Deduplicate,Pass,Pass,Pass,0.0.1,,,Transform,deduplicate
ProphecySparkBasicPython,Filter,Pass,Pass,Pass,0.0.1,,,Transform,filter
ProphecySparkBasicPython,FlattenSchema,Pass,Pass,Pass,0.0.1,,,Transform,flattenschema
ProphecySparkBasicPython,Limit,Pass,Pass,Pass,0.0.1,,,Transform,limit
ProphecySparkBasicPython,OrderBy,Pass,Pass,Pass,0.0.1,,,Transform,order-by
ProphecySparkBasicPython,Reformat,Pass,Pass,Pass,0.0.1,,,Transform,reformat
ProphecySparkBasicPython,DataCleansing,Pass,Pass,Pass,,,,Transform,data-cleansing
ProphecySparkBasicPython,SchemaTransform,Pass,Pass,Pass,0.0.1,,,Transform,schema-transform
ProphecySparkBasicPython,SetOperation,Pass,Pass,Pass,0.0.1,,,Transform,set-operation
ProphecySparkBasicPython,WindowFunction,Pass,Pass,Pass,0.0.1,,,Transform,window-function
ProphecySparkBasicPython,BulkColumnRename,Not supported,Not supported,Not supported,0.2.11,7.1.97,1.8.19,Transform,bulk-column-rename
ProphecySparkAbinitioPython,Normalize,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,MetaPivot,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,ReadRaw,Not supported,TBD,TBD,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,ReadSeparated Values,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,WriteSeparated Values,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,SyncDataFrameColumnsWithSchema,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,Sequence,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAlteryxPython,DynamicReplace,Not supported,TBD,TBD,,,,Transform,not-applicable-yet
ProphecySparkAlteryxPython,FuzzyMatch,Not supported,TBD,TBD,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,AssignKeys,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,RoundRobinPartition,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkAbinitioPython,CompareRecords,Not supported,Pass,Pass,,,,Transform,not-applicable-yet
ProphecySparkDataQualityPython,DataQualityCheck,Not supported,Not supported,Not supported,0.0.1,8.2.1,1.9.16,Transform,tbd
ProphecySparkBasicPython,Join,Pass,Pass,Pass,0.0.1,,,JoinSplit,join
ProphecySparkBasicPython,Repartition,Pass,Pass,Pass,0.0.1,,,JoinSplit,repartition
ProphecySparkBasicPython,RowDistributor,Pass,Pass,Pass,0.0.1,,,JoinSplit,row-distributor
ProphecySparkBasicPython,CompareColumns,Pass,Pass,Pass,0.0.1,,,JoinSplit,compare-columns
,Script,Pass,Pass,Pass,,,,Custom,script
ProphecySparkBasicPython,DeltaTableOperations,Pass,Pass,Pass,0.0.1,,,Custom,delta-table-operations
ProphecySparkBasicPython,FileOperation (DBFS Copy),Pass,Pass,Pass,0.0.1,,,Custom,file-operation
ProphecySparkBasicPython,FileOperation (Revamp),TBD,TBD,TBD,,,,Custom,not-applicable-yet
ProphecySparkBasicPython,Directory,Not supported,Not supported,Not supported,0.2.27,8.2.1,1.9.16,Custom,not-applicable-yet
ProphecySparkBasicPython,RestAPlEnrich,Not supported,Not supported,Pass,0.0.1,,,Custom,rest-api-enrich
ProphecyWebAppPython,Email,Not supported,Not supported,Not supported,0.0.6,,1.9.11,Custom,tbd
ProphecyWebAppPython,EmailData,Not supported,Not supported,Not supported,0.0.7,,1.9.23,Custom,tbd
ProphecyWebAppPython,Tableau,Not supported,Not supported,Not supported,0.0.6,,1.9.11,Custom,tbd
ProphecySparkAbinitioPython,ReadMultipleFiles,Not supported,TBD,TBD,,,,Custom,not-applicable-yet
ProphecySparkAbinitioPython,WriteMultipleFiles,Not supported,TBD,TBD,,,,Custom,not-applicable-yet
ProphecySparkAbinitioPython,Display,Not supported,TBD,TBD,,,,Custom,not-applicable-yet
ProphecySparkAbinitioPython,Trash,Not supported,TBD,TBD,,,,Custom,not-applicable-yet
ProphecySparkAbinitioPython,Todo,Not supported,TBD,TBD,,,,Custom,not-applicable-yet
